week_start,company_domain,sessions,pageviews,trial_signups
2026-04-06,cobalt-games.example,10,20,1
2026-04-06,copperline-telecom.example,9,27,0
2026-04-06,halcyon-travel.example,23,46,0
2026-04-06,harborview-hospitality.example,49,245,0
2026-04-06,juniper-foods.example,51,102,0
2026-04-06,kestrel-health.example,14,84,0
2026-04-06,kirkwall-industries.example,41,246,0
2026-04-06,marrowbrook-labs.example,56,224,0
2026-04-06,nimbus-media.example,56,168,0
2026-04-06,northgate-security.example,26,78,0
2026-04-06,orchard-retail-group.example,10,20,0
2026-04-06,redwood-robotics.example,8,40,0
2026-04-06,sable-financial.example,29,116,1
2026-04-06,silverquay-holdings.example,6,18,0
2026-04-06,stonebridge-construction.example,22,66,0
2026-04-06,tidewater-marine.example,5,25,2
2026-04-06,vantage-legal.example,14,28,0
2026-04-06,verdant-agritech.example,43,215,0
2026-04-13,bluewater-logistics.example,47,282,0
2026-04-13,brightwater-utilities.example,43,129,0
2026-04-13,cascadia-outfitters.example,47,188,1
2026-04-13,cobalt-games.example,42,126,0
2026-04-13,copperline-telecom.example,44,132,1
2026-04-13,ferrostar-manufacturing.example,25,150,3
2026-04-13,halcyon-travel.example,40,160,0
2026-04-13,harborview-hospitality.example,56,112,0
2026-04-13,ironwood-furniture.example,54,216,0
2026-04-13,juniper-foods.example,23,46,0
2026-04-13,kestrel-health.example,47,141,0
2026-04-13,lumen-cinemas.example,20,40,0
2026-04-13,meridian-energy.example,34,136,2
2026-04-13,northgate-security.example,39,234,0
2026-04-13,orchard-retail-group.example,45,90,0
2026-04-13,pinewood-insurance.example,35,210,0
2026-04-13,ravenscar-analytics.example,28,84,0
2026-04-13,sable-financial.example,6,18,0
2026-04-13,tidewater-marine.example,8,16,0
2026-04-13,vantage-legal.example,18,72,0
2026-04-13,verdant-agritech.example,13,26,0
2026-04-20,ashenford-dynamics.example,27,54,0
2026-04-20,atlas-freight.example,26,130,0
2026-04-20,blackwater-ventures.example,56,112,0
2026-04-20,brightwater-utilities.example,59,118,0
2026-04-20,halcyon-travel.example,44,88,0
2026-04-20,harborview-hospitality.example,25,75,3
2026-04-20,kestrel-health.example,22,110,0
2026-04-20,larkspur-biotech.example,41,205,0
2026-04-20,marrowbrook-labs.example,53,265,0
2026-04-20,nimbus-media.example,38,190,0
2026-04-20,northgate-security.example,53,318,0
2026-04-20,orchard-retail-group.example,45,180,0
2026-04-20,quill-sable-publishing.example,35,140,0
2026-04-20,redwood-robotics.example,44,264,0
2026-04-20,silverquay-holdings.example,24,96,2
2026-04-20,tidewater-marine.example,11,33,0
2026-04-20,vantage-legal.example,37,111,1
2026-04-20,verdant-agritech.example,25,125,0
2026-04-20,wexford-trading.example,11,55,0
2026-04-27,atlas-freight.example,18,90,0
2026-04-27,blackwater-ventures.example,59,354,0
2026-04-27,bluewater-logistics.example,34,102,2
2026-04-27,brightwater-utilities.example,22,44,0
2026-04-27,copperline-telecom.example,53,265,0
2026-04-27,duskmoor-collective.example,15,90,0
2026-04-27,ferrostar-manufacturing.example,53,265,0
2026-04-27,greyloch-systems.example,31,62,3
2026-04-27,halcyon-travel.example,8,40,1
2026-04-27,ironwood-furniture.example,16,64,0
2026-04-27,juniper-foods.example,3,15,0
2026-04-27,kestrel-health.example,8,32,0
2026-04-27,lumen-cinemas.example,13,78,0
2026-04-27,meridian-energy.example,16,48,1
2026-04-27,nimbus-media.example,52,104,0
2026-04-27,northgate-security.example,21,84,1
2026-04-27,orchard-retail-group.example,36,72,1
2026-04-27,pinewood-insurance.example,35,105,0
2026-04-27,redwood-robotics.example,45,90,0
2026-04-27,sable-financial.example,15,30,0
2026-04-27,tidewater-marine.example,14,84,1
2026-04-27,vantage-legal.example,38,114,0
2026-04-27,verdant-agritech.example,33,66,0
2026-05-04,ashenford-dynamics.example,21,126,0
2026-05-04,atlas-freight.example,28,168,0
2026-05-04,brightwater-utilities.example,48,288,0
2026-05-04,copperline-telecom.example,9,27,0
2026-05-04,ferrostar-manufacturing.example,35,210,0
2026-05-04,halcyon-travel.example,56,280,0
2026-05-04,harborview-hospitality.example,60,180,0
2026-05-04,hollowmere-group.example,39,195,0
2026-05-04,ironwood-furniture.example,32,96,0
2026-05-04,juniper-foods.example,21,84,2
2026-05-04,kestrel-health.example,8,48,0
2026-05-04,larkspur-biotech.example,58,348,0
2026-05-04,meridian-energy.example,23,115,0
2026-05-04,nimbus-media.example,20,40,0
2026-05-04,northgate-security.example,45,90,0
2026-05-04,orchard-retail-group.example,45,90,0
2026-05-04,pinewood-insurance.example,30,60,0
2026-05-04,redwood-robotics.example,29,145,0
2026-05-04,sable-financial.example,52,104,0
2026-05-04,stonebridge-construction.example,53,159,0
2026-05-04,tidewater-marine.example,17,34,1
2026-05-04,vantage-legal.example,60,120,0
2026-05-04,verdant-agritech.example,26,78,0
2026-05-11,bluewater-logistics.example,57,342,0
2026-05-11,brightwater-utilities.example,26,78,0
2026-05-11,cascadia-outfitters.example,44,176,0
2026-05-11,halcyon-travel.example,48,144,0
2026-05-11,harborview-hospitality.example,19,57,1
2026-05-11,juniper-foods.example,52,260,0
2026-05-11,kestrel-health.example,25,50,0
2026-05-11,larkspur-biotech.example,32,160,0
2026-05-11,lumen-cinemas.example,45,180,0
2026-05-11,meridian-energy.example,9,45,0
2026-05-11,nimbus-media.example,25,50,0
2026-05-11,northgate-security.example,4,24,1
2026-05-11,orchard-retail-group.example,56,168,2
2026-05-11,pinewood-insurance.example,14,70,2
2026-05-11,quill-sable-publishing.example,17,68,2
2026-05-11,redwood-robotics.example,12,48,0
2026-05-11,sable-financial.example,56,280,0
2026-05-11,stonebridge-construction.example,51,102,0
2026-05-11,thornfield-partners.example,12,60,0
2026-05-11,tidewater-marine.example,20,40,0
2026-05-11,vantage-legal.example,58,290,0
2026-05-11,verdant-agritech.example,16,64,0
2026-05-18,bluewater-logistics.example,52,156,0
2026-05-18,cobalt-games.example,49,196,0
2026-05-18,greyloch-systems.example,47,282,0
2026-05-18,halcyon-travel.example,40,200,0
2026-05-18,harborview-hospitality.example,25,125,0
2026-05-18,larkspur-biotech.example,10,30,2
2026-05-18,lumen-cinemas.example,49,98,1
2026-05-18,meridian-energy.example,6,30,0
2026-05-18,nimbus-media.example,29,116,0
2026-05-18,northgate-security.example,15,45,0
2026-05-18,orchard-retail-group.example,39,156,0
2026-05-18,pinewood-insurance.example,13,65,0
2026-05-18,quill-sable-publishing.example,44,132,0
2026-05-18,redwood-robotics.example,52,208,0
2026-05-18,thornfield-partners.example,43,86,0
2026-05-18,tidewater-marine.example,22,110,1
2026-05-18,verdant-agritech.example,54,324,0
2026-05-25,atlas-freight.example,15,60,0
2026-05-25,blackwater-ventures.example,38,228,0
2026-05-25,cascadia-outfitters.example,46,184,2
2026-05-25,cobalt-games.example,33,66,3
2026-05-25,copperline-telecom.example,58,116,0
2026-05-25,ferrostar-manufacturing.example,60,300,0
2026-05-25,harborview-hospitality.example,35,70,0
2026-05-25,ironwood-furniture.example,49,196,0
2026-05-25,juniper-foods.example,46,230,0
2026-05-25,larkspur-biotech.example,37,148,1
2026-05-25,lumen-cinemas.example,56,280,0
2026-05-25,marrowbrook-labs.example,52,208,0
2026-05-25,northgate-security.example,36,144,0
2026-05-25,pinewood-insurance.example,39,78,0
2026-05-25,sable-financial.example,53,212,0
2026-05-25,silverquay-holdings.example,21,63,0
2026-05-25,tidewater-marine.example,25,50,0
2026-05-25,vantage-legal.example,60,360,1
2026-06-01,bluewater-logistics.example,53,106,0
2026-06-01,brightwater-utilities.example,44,176,0
2026-06-01,copperline-telecom.example,37,222,0
2026-06-01,ferrostar-manufacturing.example,24,96,0
2026-06-01,ironwood-furniture.example,57,228,0
2026-06-01,juniper-foods.example,57,228,0
2026-06-01,kestrel-health.example,17,51,0
2026-06-01,larkspur-biotech.example,44,264,0
2026-06-01,meridian-energy.example,49,294,0
2026-06-01,netherby-solutions.example,21,63,0
2026-06-01,nimbus-media.example,30,180,0
2026-06-01,northgate-security.example,29,58,0
2026-06-01,pinewood-insurance.example,53,106,0
2026-06-01,quill-sable-publishing.example,12,60,3
2026-06-01,ravenscar-analytics.example,44,176,0
2026-06-01,redwood-robotics.example,36,144,0
2026-06-01,sable-financial.example,10,40,0
2026-06-01,stonebridge-construction.example,29,58,0
2026-06-01,tidewater-marine.example,28,84,1
2026-06-01,vantage-legal.example,8,48,0
2026-06-01,verdant-agritech.example,6,12,0
2026-06-08,atlas-freight.example,5,25,0
2026-06-08,bluewater-logistics.example,10,50,0
2026-06-08,brightwater-utilities.example,10,30,2
2026-06-08,cascadia-outfitters.example,38,190,0
2026-06-08,cobalt-games.example,38,190,0
2026-06-08,copperline-telecom.example,19,95,0
2026-06-08,ferrostar-manufacturing.example,26,52,1
2026-06-08,harborview-hospitality.example,10,20,0
2026-06-08,hollowmere-group.example,49,98,0
2026-06-08,juniper-foods.example,8,40,0
2026-06-08,kestrel-health.example,35,105,0
2026-06-08,larkspur-biotech.example,14,70,0
2026-06-08,northgate-security.example,30,90,0
2026-06-08,orchard-retail-group.example,45,90,0
2026-06-08,pinewood-insurance.example,31,124,0
2026-06-08,redwood-robotics.example,57,114,1
2026-06-08,sable-financial.example,19,114,0
2026-06-08,tidewater-marine.example,31,62,1
2026-06-08,vantage-legal.example,53,159,0
2026-06-08,verdant-agritech.example,45,90,0
2026-06-15,atlas-freight.example,41,164,2
2026-06-15,cascadia-outfitters.example,56,168,0
2026-06-15,cobalt-games.example,57,342,0
2026-06-15,copperline-telecom.example,33,198,0
2026-06-15,halcyon-travel.example,22,66,3
2026-06-15,hollowmere-group.example,17,85,0
2026-06-15,ironwood-furniture.example,41,246,0
2026-06-15,kestrel-health.example,26,52,2
2026-06-15,larkspur-biotech.example,15,75,0
2026-06-15,lumen-cinemas.example,53,212,0
2026-06-15,meridian-energy.example,57,171,1
2026-06-15,nimbus-media.example,26,78,0
2026-06-15,northgate-security.example,36,216,0
2026-06-15,orchard-retail-group.example,39,234,0
2026-06-15,quill-sable-publishing.example,56,112,0
2026-06-15,ravenscar-analytics.example,45,180,0
2026-06-15,sable-financial.example,46,230,0
2026-06-15,silverquay-holdings.example,51,153,0
2026-06-15,stonebridge-construction.example,4,12,0
2026-06-15,tidewater-marine.example,34,204,0
2026-06-15,vantage-legal.example,14,28,1
2026-06-22,atlas-freight.example,5,30,0
2026-06-22,bluewater-logistics.example,34,102,0
2026-06-22,brightwater-utilities.example,8,16,0
2026-06-22,cascadia-outfitters.example,39,234,0
2026-06-22,ferrostar-manufacturing.example,40,80,0
2026-06-22,ironwood-furniture.example,26,156,0
2026-06-22,juniper-foods.example,17,51,0
2026-06-22,kestrel-health.example,39,156,0
2026-06-22,larkspur-biotech.example,45,270,3
2026-06-22,meridian-energy.example,27,162,0
2026-06-22,netherby-solutions.example,26,130,0
2026-06-22,nimbus-media.example,49,98,0
2026-06-22,quill-sable-publishing.example,7,14,0
2026-06-22,ravenscar-analytics.example,41,123,0
2026-06-22,redwood-robotics.example,23,69,0
2026-06-22,silverquay-holdings.example,51,102,0
2026-06-22,thornfield-partners.example,18,54,0
2026-06-22,tidewater-marine.example,37,74,1
2026-06-22,verdant-agritech.example,52,156,1
2026-06-22,wexford-trading.example,16,80,0
2026-06-29,ashenford-dynamics.example,22,66,0
2026-06-29,atlas-freight.example,41,246,2
2026-06-29,bluewater-logistics.example,21,42,0
2026-06-29,cascadia-outfitters.example,3,9,0
2026-06-29,cobalt-games.example,33,66,0
2026-06-29,ferrostar-manufacturing.example,40,160,0
2026-06-29,halcyon-travel.example,31,93,1
2026-06-29,hollowmere-group.example,5,10,2
2026-06-29,kestrel-health.example,40,160,0
2026-06-29,larkspur-biotech.example,20,100,0
2026-06-29,meridian-energy.example,14,42,0
2026-06-29,nimbus-media.example,30,180,1
2026-06-29,northgate-security.example,3,12,0
2026-06-29,orchard-retail-group.example,47,235,0
2026-06-29,pinewood-insurance.example,24,144,1
2026-06-29,quill-sable-publishing.example,31,186,0
2026-06-29,redwood-robotics.example,16,80,0
2026-06-29,stonebridge-construction.example,60,120,0
2026-06-29,tidewater-marine.example,40,80,1
2026-06-29,vantage-legal.example,13,52,1
2026-06-29,verdant-agritech.example,44,176,0
2026-06-29,wexford-trading.example,48,288,1
