asset_id,asset_type,model,serial_number,assigned_to_employee_id,purchase_order_id,purchased_date,status,warranty_end
AST-1182,laptop,Corvid Book 16,SN-abb4c9bf,EMP-1108,,2022-06-05,in_use,2025-06-04
AST-1184,laptop,Corvid Book 16,SN-3c613483,EMP-1109,,2025-07-26,in_use,2028-07-25
AST-1185,laptop,Corvid Book 14,SN-8a96db61,EMP-1110,,2025-12-24,in_use,2028-12-23
AST-1190,laptop,Corvid Book 14,SN-8438925e,EMP-1111,,2022-04-28,in_use,2025-04-27
AST-1195,laptop,Corvid Book 14,SN-eb58b10a,EMP-1112,,2023-08-18,in_use,2026-08-17
AST-1197,laptop,Corvid Book 14,SN-7efc7013,EMP-1113,,2022-11-28,in_use,2025-11-27
AST-1198,laptop,Corvid Book 14,SN-c3a9c609,EMP-1114,,2024-02-02,in_use,2027-02-01
AST-1203,laptop,Corvid Book 16,SN-8a4d7dcc,EMP-1116,,2024-05-21,in_use,2027-05-21
AST-1204,laptop,Corvid Book 16,SN-454755a2,EMP-1117,,2024-05-05,in_use,2027-05-05
AST-1205,laptop,Corvid Book 14,SN-234711c1,EMP-1118,,2023-01-23,in_use,2026-01-22
AST-1206,laptop,Corvid Book 16,SN-c4206867,EMP-1119,,2023-09-05,in_use,2026-09-04
AST-1207,laptop,Corvid Book 16,SN-1e66003d,EMP-1120,,2024-12-08,in_use,2027-12-08
AST-1215,laptop,Corvid Book 14,SN-d3d73574,EMP-1121,,2025-09-19,in_use,2028-09-18
AST-1216,laptop,Corvid Book 16,SN-a1467c71,EMP-1122,,2023-07-29,in_use,2026-07-28
AST-1222,laptop,Corvid Book 16,SN-85b23a49,EMP-1123,,2026-01-05,in_use,2029-01-04
AST-1225,laptop,Corvid Book 14,SN-be6b5a58,EMP-1125,,2022-07-13,in_use,2025-07-12
AST-1226,laptop,Corvid Book 16,SN-7d4b39be,EMP-1126,,2023-07-21,in_use,2026-07-20
AST-1227,laptop,Corvid Book 16,SN-a1e326d3,EMP-1127,,2025-12-12,in_use,2028-12-11
AST-1228,laptop,Corvid Book 16,SN-d438aa57,EMP-1128,,2025-03-29,in_use,2028-03-28
AST-1230,laptop,Corvid Book 16,SN-8ab5f4cf,EMP-1129,,2022-09-24,in_use,2025-09-23
AST-1233,laptop,Corvid Book 14,SN-dea5b292,EMP-1130,,2024-08-03,in_use,2027-08-03
AST-1236,laptop,Corvid Book 14,SN-84b9fb91,EMP-1131,,2023-12-16,in_use,2026-12-15
AST-1238,laptop,Corvid Book 16,SN-d80f456c,EMP-1132,,2022-04-05,in_use,2025-04-04
AST-1239,laptop,Corvid Book 14,SN-5efda17f,EMP-1134,,2025-05-25,in_use,2028-05-24
AST-1246,laptop,Corvid Book 16,SN-4a6da3bb,EMP-1136,,2025-06-05,in_use,2028-06-04
AST-1247,laptop,Corvid Book 14,SN-f24ae330,EMP-1137,,2023-08-04,in_use,2026-08-03
AST-1254,laptop,Corvid Book 16,SN-8ed6fb58,EMP-1138,,2023-03-19,in_use,2026-03-18
AST-1256,laptop,Corvid Book 16,SN-2f211420,EMP-1139,,2025-05-12,in_use,2028-05-11
AST-1259,laptop,Corvid Book 14,SN-86db6245,EMP-1140,,2023-01-14,in_use,2026-01-13
AST-1260,laptop,Corvid Book 14,SN-ecdb387d,,,2026-02-28,retired,2029-02-27
AST-1262,laptop,Corvid Book 14,SN-8cf168fa,,,2024-12-18,retired,2027-12-18
AST-1264,monitor,Vistapane 27,SN-7146effd,,,2022-08-03,retired,2025-08-02
AST-1267,monitor,Vistapane 27,SN-2651f446,,,2023-06-08,retired,2026-06-07
AST-1268,monitor,Vistapane 27,SN-2ee2444f,,,2022-06-18,stock,2025-06-17
AST-1269,monitor,Vistapane 27,SN-c2f7792a,,,2024-07-04,stock,2027-07-04
AST-1270,laptop,Corvid Book 16,SN-5b17c76c,,,2026-03-20,stock,2029-03-19
AST-1271,monitor,Vistapane 27,SN-082a608f,,,2024-05-23,stock,2027-05-23
AST-1272,laptop,Corvid Book 16,SN-99ee5fc9,,,2023-01-11,stock,2026-01-10
AST-1273,monitor,Vistapane 27,SN-af3d618f,,,2025-08-04,stock,2028-08-03
AST-1274,monitor,Vistapane 27,SN-e6cbc2eb,,,2024-07-16,stock,2027-07-16
AST-1275,monitor,Vistapane 27,SN-a619c726,,,2023-10-11,retired,2026-10-10
AST-1278,dock,Corvid Dock D2,SN-5a306031,,,2025-06-26,stock,2028-06-25
AST-1282,monitor,Vistapane 27,SN-9c705fca,,,2023-02-24,retired,2026-02-23
AST-1287,phone,Slatestone S3,SN-c229c408,,,2024-07-26,stock,2027-07-26
AST-1289,laptop,Corvid Book 14,SN-e593610c,EMP-1107,PO-2026-041,2026-05-04,in_use,2029-05-03
AST-1290,monitor,Vistapane 27,SN-85a205ac,,,2026-04-02,stock,2029-04-01
AST-1291,laptop,Corvid Book 14,SN-fd30c309,,,2024-02-25,retired,2027-02-24
AST-1293,laptop,Corvid Book 16,SN-ee299b85,,,2024-04-04,stock,2027-04-04
AST-1296,phone,Slatestone S3,SN-8aa9abd4,,,2024-09-09,stock,2027-09-09
